title,glass,garnish,recipe,ingredients
Melon Margarita #1 (served 'up'),Coupe glass,Melon slice or melon balls,"Cut melon into 8 segments and deseed. Cut cubes of flesh from skin of one segment and MUDDLE in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1⁄6 fresh', 'Melon (Cantaloupe)'], ['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Green melon liqueur'], ['3 cl', 'Lime juice (freshly squeezed)']]"
Melon Margarita #2 (served frozen),Coupe glass,Melon slice or melon balls,Cut melon into 8 segments and deseed. Cut cubes of flesh from skin of one segment and place in blender. Add other ingredients and BLEND with 6oz scoop crushed ice. Serve with straws.,"[['1⁄6 fresh', 'Melon (Cantaloupe)'], ['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Melon Martini,Martini glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6.75 cl', 'Ketel One Vodka'], ['3 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Melon Martini (fresh fruit),Martini glass,Melon slice,"Cut melon into eight segments and deseed. Cut cubes of flesh from skin of one segment and MUDDLE in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1⁄6 fresh', 'Melon (Cantaloupe)'], ['6 cl', 'Ketel One Vodka'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Meloncholy Martini,Martini glass,Mint sprig,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Green melon liqueur'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Single cream / half-and-half']]"
Mellow Cocktail,Martini glass,Lychee,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Kwai Feh lychee liqueur'], ['1.5 cl', 'Giffard Banane du Brésil liqueur'], ['4.5 cl', 'Pineapple juice (fresh pressed)']]"
Menehune Juice,Double old-fashioned,"Lime wedge, mint sprig & Menehune",SHAKE all ingredients with ice and strain into glass filled with crushed ice. Serve with straws.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Giffard Orgeat Syrup'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Merry Widow(er),Martini glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['4.5 cl', 'Martini Extra Dry vermouth'], ['1 cl', 'Bénédictine D.O.M.'], ['1 dash', 'La Fée Parisienne absinthe'], ['1 dash', ""Peychaud's or other Creole-style bitters""]]"
Merry Widow #2,Martini glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Dubonnet Red'], ['3 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Orange Bitters by Angostura']]"
Mesa Fresca,Collins glass,Lime slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['5 cl', 'Patrón Reposado tequila'], ['7.5 cl', 'Grapefruit juice (pink)'], ['2.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Met Manhattan,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Bourbon whiskey'], ['2.25 cl', 'Grand Marnier or other cognac orange liqueur'], ['1 cl', 'Butterscotch liqueur'], ['1 cl', 'Chilled water'], ['1 dash', 'Orange Bitters by Angostura']]"
Metropolitan,Martini glass,Orange zest twist (flamed),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Blackcurrant flavoured vodka'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Lime cordial (sweetened lime juice)']]"
Merry-Go-Round Martini,Coupe glass,Chilled olive on stick or lemon zest twist,STIR all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Martini Rosso sweet vermouth']]"
Mexican,Coupe glass,Pineapple wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['0.5 cl', 'Giffard Grenadine syrup']]"
Mexican 55,Collins glass,Lime wedge,SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with champagne.,"[['4.5 cl', 'Patrón Reposado tequila'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Angostura Aromatic Bitters'], ['Top up with', 'Brut Champagne']]"
Mexican Coffee (Hot),Toddy glass,Coffee beans,Place bar spoon in glass. POUR first three ingredients into glass and stir. FLOAT cream.,"[['3 cl', 'Patrón Reposado tequila'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Filter coffee (hot)'], ['Float lightly whipped', 'Single cream / half-and-half']]"
Mexican Manhattan,Coupe glass,Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Patrón Añejo tequila'], ['3 cl', 'Martini Rosso sweet vermouth'], ['1 dash', ""Difford's Margarita Bitters""]]"
Mexican Martini (Añejo Margarita),Martini glass,Jalapeño stuffed olives,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Añejo tequila'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Agave syrup']]"
Mexican Melon Ball,Collins glass,Melon balls,"Cut melon into eight segments and deseed. Cut cubes of flesh from skin of one segment and MUDDLE in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['1⁄6 fresh', 'Melon (Cantaloupe)'], ['6 cl', 'Patrón Reposado tequila'], ['6 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mexican Mule,Copper mug or Collins glass,"Lime slice, mint sprigs bouquet & straw",POUR first 3 ingredients into mug/glass & stir and briefly stir. Two-thirds fill glass with cubed ice. TOP with ginger beer and fill glass with a crown of crushed ice.,"[['6 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['9 cl', 'Thomas Henry Ginger Beer']]"
Mexican Surfer,Coupe glass,Lime wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lime cordial (sweetened lime juice)']]"
Mexican Tea (Hot),Toddy glass,Lime slice,Place bar spoon in warmed glass. POUR all ingredients into glass and stir.,"[['6 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Breakfast tea (hot)']]"
Mexico City,Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Patrón Reposado tequila'], ['2.25 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mexicano (Hot),Toddy glass,Dust with grated nutmeg & cinnamon,POUR tequila and liqueur into warmed glass and top with coffee. FLOAT cream over drink.,"[['3 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['Top up with', 'Filter coffee (hot)'], ['Float lightly whipped', 'Single cream / half-and-half']]"
Miami Beach,Coupe glass,Pineapple wedge & Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Miami Daiquiri,Martini glass,Mint leaf,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['0.75 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]"
Michelada,Collins glass,Coarse sea salt rim - salt the rim of a chilled beer mug by rubbing it with a lime wedge and dipping rim in the coarse salt. Save the lime wedge to squeeze over and drop into finished drink.,POUR ingredients into ice-filled glass.,"[['1.25 cl', 'Lime juice (freshly squeezed)'], ['2 dash', 'Hot pepper sauce (red)'], ['0.5 cl', 'Worcestershire sauce'], ['Top up with', 'Dunkel / dark / black lager']]"
Milano Sour,Old-fashioned glass,Lemon slice & cherry on stick (sail),SHAKE all ingredients with ice and fine strain into ice-filled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', ""Galliano L'Autentico liqueur""], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white']]"
Milk & Honey Cocktail,Martini glass,Dust with grated nutmeg,"STIR Scotch with honey in base of shaker to dissolve honey. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 spoon', 'Honey'], ['1.5 cl', 'Honey liqueur (spiced)'], ['2.25 cl', 'Single cream / half-and-half'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)']]"
Milk Punch,Highball (max 10oz/300ml),Dust with grated nutmeg,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Dark/black/blackstrap rum'], ['1.5 cl', 'Vanilla sugar syrup'], ['7.5 cl', 'Milk (whole milk/full 3-4% fat)']]"
Milky Mojito,Collins glass,Mint sprig,"Lightly MUDDLE (just to bruise) mint in glass. Fill glass with crushed ice, add other ingredients. TOP with soda, stir and serve with straws.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Pernod anise'], ['3 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Soda Water']]"
Million Dollar Cocktail,Coupe glass,Lemon zest twist (discarded) & pineapple wedge on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Pasteurised egg white']]"
Million Dollar Margarita,Old-fashioned glass,Lime wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Patrón Reposado tequila'], ['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Agave syrup'], ['4 drop', ""Difford's Margarita Bitters (optional)""]]"
Millionaire,Coupe glass,Dust with freshly grated nutmeg & optional small orange wedge on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'Raspberry (framboise) sugar syrup'], ['0.5 cl', 'Lemon juice (freshly squeezed)'], ['3 dash', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Pasteurised egg white']]"
Millionaire No.1,Coupe glass,Lime or apricot slice/wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Overproof pot still rum'], ['2.25 cl', 'Rutte Sloe Gin'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Giffard Grenadine syrup']]"
Milly Martini,Martini glass,Pineapple wedge,"Lightly MUDDLE basil (just to bruise) in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['5 fresh', 'Basil leaves'], ['6 cl', 'Rutte Dry Gin'], ['6 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura']]"
Mimosa,Goblet glass,Orange zest twist (discarded) & orange slice,"POUR half the champagne into ice-filled glass (preferably a chunk of block ice), then POUR orange juice and finally the rest of the champagne.","[['9 cl', 'Brut Champagne (chilled)'], ['9 cl', 'Orange juice (freshly squeezed) (chilled)']]"
Milano,Old-fashioned glass,Orange slice,STIR all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Italian red bitter liqueur'], ['3 cl', 'Martini Rosso sweet vermouth']]"
Mint Cocktail,Coupe glass,Mint leaf,SHAKE all ingredients with ice and fine strain into chilled glass. (There's no need to muddle mint if a good shake and ice is used.),"[['12 fresh', 'Mint leaves'], ['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Sauvignon blanc wine'], ['0.75 cl', 'Giffard Menthe Pastille white crème de menthe'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mint Collins,Collins glass,Mint sprig,"Lightly MUDDLE (just to bruise) mint in base of shaker. Add next three ingredients, SHAKE with ice and fine strain into chilled glass. TOP with soda, lightly stir and serve with straws.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Soda Water']]"
Mint Daiquiri,Martini glass,Mint leaf,"Lightly MUDDLE (just to bruise) mint in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]"
Mint Fizz,Collins glass,Mint sprig,"Lightly MUDDLE mint (just to bruise) in base of shaker. Add other ingredients apart from soda, SHAKE with ice and fine strain into ice-filled glass. TOP with soda, lightly stir and serve with straws.","[['7 fresh', 'Mint leaves'], ['6 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Giffard Menthe Pastille white crème de menthe'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Soda Water']]"
Mint Julep Cocktail,Julep tin,Mint sprigs bouquet dusted with icing sugar,SHAKE all ingredients with ice and fine strain into julep cup half-filled with crushed ice. CHURN (stir) the drink with the crushed ice using a bar spoon. Top up the cup with more crushed ice and CHURN again. Repeat this process so the drink fills the cup and frost forms on the outside.,"[['12 fresh', 'Mint leaves'], ['7 cl', 'Bourbon whiskey'], ['2 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Angostura Aromatic Bitters']]"
Mint Limeade (Non-alcoholic),Collins glass,Mint sprigs,"Lightly MUDDLE (just to bruise) mint in base of shaker. Add next three ingredients, SHAKE with ice and fine strain into ice-filled glass. TOP with lemonade, lightly stir and serve with straws.","[['12 fresh', 'Mint leaves'], ['4.5 cl', 'Lime juice (freshly squeezed)'], ['3 cl', 'Apple juice'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Lemon-lime soda (Sprite/7-Up)']]"
Mint Martini,Martini glass,Mint leaf,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['12 fresh', 'Mint leaves'], ['4.5 cl', 'Ketel One Vodka'], ['0.75 cl', 'Giffard Peppermint Pastille crème de menthe'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['4.5 cl', 'Sauvignon blanc wine'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Miss Martini,Coupe glass,Raspberries,"MUDDLE raspberries in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['7 fresh', 'Raspberries (fresh)'], ['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Single cream / half-and-half']]"
Missionary's Downfall,Collins glass,Mint sprigs bouquet,"Lightly MUDDLE mint with rum in base of shaker. Add other ingredients, SHAKE with ice and fine strain into glass filled with crushed ice.","[['15 fresh', 'Mint leaves'], ['3 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Peachtree peach schnapps'], ['1 cl', 'Honey syrup (3 honey to 1 water)'], ['1.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Mississippi Punch,Collins glass,Lemon slice,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['4.5 cl', 'Bourbon whiskey'], ['2.25 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['3 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['6 cl', 'Chilled water']]"
Mississippi Schnapper,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4 cl', 'Bourbon whiskey'], ['1.5 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'De Kuyper Triple Sec (40%)'], ['0.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mister Stu,Collins glass,Pineapple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['5 cl', 'Patrón Silver blanco tequila'], ['1.5 cl', 'Disaronno amaretto'], ['1 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['4 cl', 'Pineapple juice (fresh pressed)'], ['4 cl', 'Orange juice (freshly squeezed)']]"
Mitch Martini,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bison grass vodka'], ['3 cl', 'Apple juice'], ['0.75 cl', 'Peachtree peach schnapps'], ['0.75 cl', 'Passion fruit syrup']]"
Mocha Martini,Coupe glass,Dust with chocolate powder,SHAKE first four ingredients with ice and fine strain into chilled glass. FLOAT cream in centre of drink.,"[['4.5 cl', 'Bourbon whiskey'], ['3 cl', 'Espresso coffee (freshly made & hot)'], ['1.5 cl', 'Irish cream liqueur'], ['1.5 cl', 'De Kuyper Brown Crème de Cacao'], ['1.5 cl', 'Single cream / half-and-half']]"
Modernista,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Dark/black/blackstrap rum'], ['0.75 cl', 'Pernod anise'], ['3 cl', 'Swedish Punsch liqueur'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['1 dash', 'Orange Bitters by Angostura']]"
Mojito Cocktail,Collins glass,Mint sprigs bouquet,"ADD first 4 ingredients to glass and two-thirds fill with crushed ice. CHURN (stir) with bar spoon and then FILL glass with more crushed ice. TOP with splash of soda, briefly stir and serve.","[['14 fresh', 'Mint leaves'], ['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Thomas Henry Soda Water']]"
